,entrezid
909,4649
910,8653
911,5214
912,3422
913,6672
914,1316
915,8611
916,4756
917,23471
918,5255
919,7132
920,782
921,7813
922,9399
923,5315
924,54505
925,30836
926,79091
927,7158
928,7216
929,51018
930,387
931,1659
932,5590
933,7544
934,55699
935,6857
936,89795
937,3421
938,79641
939,57595
940,492
941,6093
942,865
943,5165
944,8692
945,9759
946,11186
947,2261
948,3430
949,63897
950,80347
951,79990
952,4205
953,55593
954,7030
955,4943
956,2182
957,3632
958,27238
959,56850
960,24140
961,55771
962,23250
963,25885
964,9741
965,57217
966,51447
967,286749
968,55133
969,3796
970,10235
971,23198
972,57560
973,22933
974,27248
975,5526
976,5837
977,5307
978,375449
979,221395
980,54549
981,55746
982,64710
983,55737
984,10294
985,602
986,8514
987,10060
988,51083
989,29121
990,139341
991,4129
992,6095
993,1815
994,7049
995,8399
996,54626
997,483
998,4734
999,9488
1000,5597
1001,10681
1002,5873
1003,27440
1004,7353
1005,4040
1006,2984
1007,57661
1008,8518
1009,4925
1010,5217
1011,5774
1012,6710
1013,27071
1014,2255
1015,23446
1016,54916
1017,23293
1018,10640
1019,8218
1020,27006
1021,10272
1022,9993
1023,55658
1024,4335
1025,79364
1026,23210
1027,5423
1028,55062
1029,22844
1030,57704
1031,3340
1032,440
1033,10947
1034,1258
1035,10610
1036,26986
1037,10420
1038,29105
1039,1459
1040,11099
1041,8891
1042,815
1043,6949
1044,998
1045,26031
1046,56852
1047,490
1048,8440
1049,9448
1050,11320
1051,6160
1052,9948
1053,23161
1054,79658
1055,6196
1056,54556
1057,22846
1058,29995
1059,114049
1060,6400
1061,9319
1062,537
1063,6929
1064,28951
1065,26528
1066,53615
1067,6596
1068,9130
1069,60343
1070,29894
1071,140469
1072,79901
1073,28513
1074,5134
1075,55117
1076,51109
1077,5566
1078,22859
1079,6694
1080,87
1081,23503
1082,27330
1083,22905
1084,26469
1085,55679
1086,10290
1087,84708
1088,224
1089,7037
1090,6720
1091,7224
1092,27125
1093,7321
1094,64398
1095,9886
1096,8243
1097,3028
1098,2011
1099,3161
1100,55743
1101,29953
1102,8974
1103,2213
1104,4775
1105,51095
1106,37
1107,6793
1108,23291
1109,9744
1110,1400
1111,2121
1112,51009
1113,54847
1114,54820
1115,10335
1116,79041
1117,8907
1118,5817
1119,7515
1120,949
1121,54905
1122,4171
1123,54456
1124,56666
1125,83642
1126,8626
1127,80216
1128,3993
1129,5151
1130,1183
1131,54475
1132,6389
1133,6605
1134,54752
1135,55876
1136,5927
1137,4185
1138,5523
1139,10979
1140,5743
1141,10644
1142,9175
1143,6480
1144,10129
1145,8301
1146,4905
1147,2736
1148,23332
1149,65993
1150,4854
1151,1207
1152,5522
1153,8463
1154,8726
1155,54825
1156,7251
1157,55421
1158,489
1159,771
1160,11343
1161,59277
1162,617
1163,9891
1164,54878
1165,9187
1166,55205
1167,8578
1168,3998
1169,51495
1170,26034
1171,23140
1172,2023
1173,6557
1174,56005
1175,57719
1176,51175
1177,55160
1178,7294
1179,6865
1180,64431
1181,54962
1182,6717
1183,8672
1184,79023
1185,10371
1186,51512
1187,10512
1188,55020
1189,38
1190,23151
1191,9620
1192,27332
1193,55972
1194,29090
1195,119
1196,9462
1197,9605
1198,7587
1199,4140
1200,5250
1201,64778
1202,2355
1203,285527
1204,23505
1205,6624
1206,60
1207,55034
1208,5337
1209,284403
1210,1739
1211,7879
1212,55973
1213,25956
1214,9733
1215,55843
1216,113457
1217,23016
1218,22920
1219,23609
1220,4175
1221,25996
1222,10179
1223,5939
1224,11176
1225,25930
1226,4292
1227,7374
1228,2329
1229,27252
1230,8786
1231,113235
1232,5362
1233,10615
1234,88455
1235,7163
1236,32
1237,9618
1238,55824
1239,55094
1240,3385
1241,22978
1242,4162
1243,2239
1244,55796
1245,5909
1246,56949
1247,9138
1248,6813
1249,5609
1250,8527
1251,83992
1252,5915
1253,7155
1254,56889
1255,4791
1256,29089
1257,4660
1258,54431
1259,2975
1260,3566
1261,23032
1262,5063
1263,827
1264,1641
1265,6626
1266,56915
1267,1781
1268,54518
1269,4034
1270,143684
1271,51548
1272,10714
1273,88
1274,832
1275,7107
1276,10003
1277,79960
1278,203427
1279,7319
1280,2260
1281,8468
1282,27127
1283,2192
1284,8516
1285,4133
1286,9063
1287,273
1288,369
1289,56922
1290,27074
1291,2191
1292,10529
1293,55331
1294,3093
1295,5289
1296,55728
1297,57103
1298,7289
1299,8871
1300,108
1301,5527
1302,2782
1303,1906
1304,8028
1305,55063
1306,117
1307,9452
1308,4898
1309,7419
1310,5108
1311,57690
1312,9139
1313,1620
